,upset_score,tournament_id,left_fide_id,left_rtg,right_fide_id,right_rtg,location,medium,time_control
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
30,140.0,670407,2314673,2165,45102422,2445,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
31,0.0,670407,44507356,2445,2623897,2148,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
32,0.0,670407,14542307,2133,21832030,2440,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
