,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
337,offline,blitz,18,-1,241.0,MM,0
338,offline,blitz,10,-1,258.0,MM,1
339,offline,blitz,-6,1,201.0,MM,1
340,offline,blitz,4,0,386.0,MF,0
341,offline,blitz,3,0,327.0,MM,0
342,offline,blitz,17,0,483.0,MM,0
343,offline,blitz,1,0,202.0,MM,0
344,offline,blitz,1,0,203.0,MM,0
345,offline,blitz,18,-1,308.0,MM,0
346,offline,blitz,14,-1,289.0,MM,1
347,offline,blitz,-13,0,351.0,MM,0
348,offline,blitz,26,-1,410.0,MM,0
349,offline,blitz,6,0,270.0,MM,1
350,offline,blitz,-6,0,421.0,MM,0
351,offline,blitz,5,0,362.0,MM,0
352,offline,blitz,-9,-1,370.0,MM,0
353,offline,blitz,7,0,299.0,MM,0
354,offline,blitz,-11,0,214.0,MM,0
355,offline,blitz,2,0,356.0,MM,0
356,offline,standard,-5,-1,468.0,MM,0
357,offline,standard,19,0,621.0,MF,0
358,offline,standard,16,0,662.0,MF,0
359,offline,standard,-39,0,670.0,MM,0
360,offline,standard,-24,0,627.0,MM,0
361,offline,standard,15,0,506.0,MF,0
362,offline,standard,39,0,588.0,MM,0
363,offline,standard,-1,0,592.0,MM,0
364,offline,standard,-4,-1,665.0,FM,0
365,offline,standard,1,0,331.0,MM,1
366,offline,standard,-11,0,309.0,MM,0
367,offline,standard,-12,1,395.0,MF,1
368,offline,standard,-15,0,329.0,MM,0
369,offline,standard,25,1,406.0,MF,0
370,offline,standard,-13,0,330.0,MM,0
371,offline,standard,-19,0,302.0,FM,0
372,offline,standard,12,0,235.0,FM,0
373,offline,standard,23,0,390.0,MM,0
374,offline,standard,20,1,417.0,MF,0
375,offline,standard,-31,0,309.0,MM,0
376,offline,standard,-13,-1,287.0,MM,0
377,offline,standard,3,1,255.0,MF,1
378,offline,standard,32,0,211.0,MM,0
379,offline,standard,-23,-1,252.0,FM,0
380,offline,standard,-23,0,397.0,MM,0
381,offline,standard,3,0,248.0,MM,0
382,offline,standard,-3,0,262.0,FF,0
383,offline,standard,-7,0,476.0,MM,0
384,offline,standard,-1,0,341.0,MF,0
385,offline,standard,3,0,457.0,MM,0
386,offline,standard,19,-1,379.0,MM,1
387,offline,standard,-16,0,415.0,MM,1
388,offline,standard,24,1,324.0,MM,0
389,offline,standard,-10,0,364.0,MM,0
390,offline,standard,-1,-1,403.0,FM,0
391,offline,standard,3,-1,220.0,MM,0
392,offline,standard,-7,0,355.0,MF,0
393,offline,standard,-27,-1,275.0,FM,0
394,offline,standard,-4,-1,382.0,MM,0
395,offline,standard,29,-1,295.0,MF,1
396,offline,standard,-4,1,372.0,MM,0
397,offline,standard,7,0,231.0,MM,1
398,offline,standard,12,0,294.0,MM,0
399,offline,standard,-2,0,427.0,MF,0
400,offline,standard,6,-1,692.0,MF,0
401,offline,standard,36,1,222.0,MM,0
402,offline,standard,26,-1,756.0,MM,0
403,offline,standard,-17,-1,244.0,FM,0
404,offline,standard,-7,0,249.0,MM,0
405,offline,standard,-39,0,276.0,MM,0
406,offline,standard,-32,0,284.0,MM,0
407,offline,standard,-7,0,249.0,MM,0
408,offline,standard,-39,0,276.0,MM,0
409,offline,standard,-32,0,284.0,MM,0
410,offline,standard,-6,0,293.0,MM,1
411,offline,standard,3,0,239.0,MM,0
412,offline,standard,0,0,263.0,MM,1
413,offline,standard,-18,0,215.0,MM,0
414,offline,standard,4,0,223.0,MM,0
415,offline,standard,-9,0,235.0,MM,1
416,offline,standard,-6,0,299.0,MM,0
417,offline,standard,7,0,401.0,MM,0
418,offline,standard,9,0,502.0,MM,0
419,offline,standard,-14,0,489.0,MM,0
420,offline,standard,-20,0,482.0,MM,0
421,offline,standard,-29,-1,356.0,MM,0
422,offline,standard,-20,0,413.0,MM,0
423,offline,standard,0,0,498.0,MM,0
424,offline,standard,15,0,436.0,MM,0
425,offline,standard,14,0,372.0,MM,0
426,offline,standard,-6,0,306.0,MM,0
427,offline,standard,-2,0,222.0,MM,1
428,offline,standard,1,0,218.0,MM,0
